Comunidades y ciudades autónomas;País de residencia;Meses;Total
Andalucía;Irlanda;Marzo;21.341
Andalucía;Irlanda;Abril;38.121
Andalucía;Irlanda;Mayo;57.488
Andalucía;Irlanda;Junio;90.521
Andalucía;Irlanda;Julio;88.311
Andalucía;Irlanda;Agosto;58.390
Andalucía;Irlanda;Septiembre;59.904
Andalucía;Irlanda;Octubre;50.768
Andalucía;Irlanda;Noviembre;17.250
Andalucía;Irlanda;Diciembre;14.528
Andalucía;Italia;Total;215.525
Andalucía;Italia;Enero;16.134
Andalucía;Italia;Febrero;8.799
Andalucía;Italia;Marzo;11.514
Andalucía;Italia;Abril;15.793
Andalucía;Italia;Mayo;15.710
Andalucía;Italia;Junio;22.862
Andalucía;Italia;Julio;24.626
Andalucía;Italia;Agosto;43.180
Andalucía;Italia;Septiembre;19.705
Andalucía;Italia;Octubre;14.864
Andalucía;Italia;Noviembre;11.065
Andalucía;Italia;Diciembre;11.273
Andalucía;Luxemburgo;Total;8.237
Andalucía;Luxemburgo;Enero;665
Andalucía;Luxemburgo;Febrero;481
Andalucía;Luxemburgo;Marzo;383
Andalucía;Luxemburgo;Abril;1.005
Andalucía;Luxemburgo;Mayo;840
Andalucía;Luxemburgo;Junio;918
Andalucía;Luxemburgo;Julio;231
Andalucía;Luxemburgo;Agosto;944
Andalucía;Luxemburgo;Septiembre;876
Andalucía;Luxemburgo;Octubre;919
Andalucía;Luxemburgo;Noviembre;652
Andalucía;Luxemburgo;Diciembre;322
Andalucía;Países Bajos;Total;670.836
Andalucía;Países Bajos;Enero;26.870
Andalucía;Países Bajos;Febrero;36.782
Andalucía;Países Bajos;Marzo;41.117
Andalucía;Países Bajos;Abril;60.695
Andalucía;Países Bajos;Mayo;80.123
Andalucía;Países Bajos;Junio;81.197
Andalucía;Países Bajos;Julio;83.451
Andalucía;Países Bajos;Agosto;83.817
Andalucía;Países Bajos;Septiembre;65.243
Andalucía;Países Bajos;Octubre;68.069
Andalucía;Países Bajos;Noviembre;24.421
Andalucía;Países Bajos;Diciembre;19.052
Andalucía;Polonia;Total;62.156
Andalucía;Polonia;Enero;1.617
Andalucía;Polonia;Febrero;4.507
Andalucía;Polonia;Marzo;2.815
Andalucía;Polonia;Abril;4.744
Andalucía;Polonia;Mayo;4.132
Andalucía;Polonia;Junio;6.095
Andalucía;Polonia;Julio;7.826
Andalucía;Polonia;Agosto;10.259
Andalucía;Polonia;Septiembre;7.546
Andalucía;Polonia;Octubre;3.176
Andalucía;Polonia;Noviembre;5.356
Andalucía;Polonia;Diciembre;4.084
Andalucía;Portugal;Total;92.101
Andalucía;Portugal;Enero;2.066
Andalucía;Portugal;Febrero;2.135
Andalucía;Portugal;Marzo;1.559
Andalucía;Portugal;Abril;10.517
Andalucía;Portugal;Mayo;3.803
Andalucía;Portugal;Junio;9.104
Andalucía;Portugal;Julio;16.373
Andalucía;Portugal;Agosto;25.576
Andalucía;Portugal;Septiembre;11.954
Andalucía;Portugal;Octubre;2.925
Andalucía;Portugal;Noviembre;2.150
Andalucía;Portugal;Diciembre;3.940
Andalucía;Reino Unido;Total;2.050.677
Andalucía;Reino Unido;Enero;88.844
Andalucía;Reino Unido;Febrero;113.230
Andalucía;Reino Unido;Marzo;129.311
Andalucía;Reino Unido;Abril;193.920
Andalucía;Reino Unido;Mayo;215.519
Andalucía;Reino Unido;Junio;224.068
Andalucía;Reino Unido;Julio;210.222
Andalucía;Reino Unido;Agosto;238.704
Andalucía;Reino Unido;Septiembre;231.878
Andalucía;Reino Unido;Octubre;201.726
Andalucía;Reino Unido;Noviembre;114.969
Andalucía;Reino Unido;Diciembre;88.286
Andalucía;Republica Checa;Total;28.384
Andalucía;Republica Checa;Enero;3.916
Andalucía;Republica Checa;Febrero;973
Andalucía;Republica Checa;Marzo;1.018
Andalucía;Republica Checa;Abril;942
Andalucía;Republica Checa;Mayo;1.022
Andalucía;Republica Checa;Junio;4.684
Andalucía;Republica Checa;Julio;5.545
Andalucía;Republica Checa;Agosto;3.663
Andalucía;Republica Checa;Septiembre;3.216
Andalucía;Republica Checa;Octubre;1.719
Andalucía;Republica Checa;Noviembre;1.115
Andalucía;Republica Checa;Diciembre;569
Andalucía;Suecia;Total;281.239
Andalucía;Suecia;Enero;20.570
Andalucía;Suecia;Febrero;25.839
Andalucía;Suecia;Marzo;34.366
Andalucía;Suecia;Abril;18.620
Andalucía;Suecia;Mayo;17.061
Andalucía;Suecia;Junio;21.904
Andalucía;Suecia;Julio;21.810
Andalucía;Suecia;Agosto;11.939
Andalucía;Suecia;Septiembre;16.212
Andalucía;Suecia;Octubre;34.272
Andalucía;Suecia;Noviembre;38.486
Andalucía;Suecia;Diciembre;20.159
Andalucía;Resto de la UE;Total;71.990
Andalucía;Resto de la UE;Enero;2.166
Andalucía;Resto de la UE;Febrero;2.970
Andalucía;Resto de la UE;Marzo;6.323
Andalucía;Resto de la UE;Abril;4.934
Andalucía;Resto de la UE;Mayo;8.336
Andalucía;Resto de la UE;Junio;8.066
Andalucía;Resto de la UE;Julio;9.616
Andalucía;Resto de la UE;Agosto;8.651
Andalucía;Resto de la UE;Septiembre;7.031
Andalucía;Resto de la UE;Octubre;6.753
Andalucía;Resto de la UE;Noviembre;4.444
Andalucía;Resto de la UE;Diciembre;2.701
Andalucía;Noruega;Total;165.689
Andalucía;Noruega;Enero;10.035
Andalucía;Noruega;Febrero;12.124
Andalucía;Noruega;Marzo;17.157
Andalucía;Noruega;Abril;15.440
Andalucía;Noruega;Mayo;15.503
Andalucía;Noruega;Junio;14.290
Andalucía;Noruega;Julio;24.902
Andalucía;Noruega;Agosto;7.555
Andalucía;Noruega;Septiembre;11.201
Andalucía;Noruega;Octubre;15.983
Andalucía;Noruega;Noviembre;14.188
Andalucía;Noruega;Diciembre;7.310
Andalucía;Rusia;Total;100.924
Andalucía;Rusia;Enero;8.575
Andalucía;Rusia;Febrero;3.142
Andalucía;Rusia;Marzo;6.096
Andalucía;Rusia;Abril;6.342
Andalucía;Rusia;Mayo;9.077
Andalucía;Rusia;Junio;12.709
Andalucía;Rusia;Julio;14.450
Andalucía;Rusia;Agosto;12.087
Andalucía;Rusia;Septiembre;13.525
Andalucía;Rusia;Octubre;8.247
Andalucía;Rusia;Noviembre;2.648
Andalucía;Rusia;Diciembre;4.025
Andalucía;Suiza;Total;85.463
Andalucía;Suiza;Enero;3.937
Andalucía;Suiza;Febrero;7.879
Andalucía;Suiza;Marzo;6.266
Andalucía;Suiza;Abril;8.293
Andalucía;Suiza;Mayo;8.076
Andalucía;Suiza;Junio;6.381
Andalucía;Suiza;Julio;8.871
Andalucía;Suiza;Agosto;4.588
Andalucía;Suiza;Septiembre;7.193
Andalucía;Suiza;Octubre;15.007
Andalucía;Suiza;Noviembre;5.051
Andalucía;Suiza;Diciembre;3.922
Andalucía;Resto de Europa;Total;50.550
Andalucía;Resto de Europa;Enero;1.627
Andalucía;Resto de Europa;Febrero;2.176
Andalucía;Resto de Europa;Marzo;2.196
Andalucía;Resto de Europa;Abril;3.707
Andalucía;Resto de Europa;Mayo;5.048
Andalucía;Resto de Europa;Junio;5.406
Andalucía;Resto de Europa;Julio;6.468
Andalucía;Resto de Europa;Agosto;5.756
Andalucía;Resto de Europa;Septiembre;5.912
Andalucía;Resto de Europa;Octubre;6.115
Andalucía;Resto de Europa;Noviembre;3.467
Andalucía;Resto de Europa;Diciembre;2.671
Andalucía;Estados Unidos;Total;207.380
Andalucía;Estados Unidos;Enero;14.857
Andalucía;Estados Unidos;Febrero;12.971
Andalucía;Estados Unidos;Marzo;18.433
Andalucía;Estados Unidos;Abril;18.392
Andalucía;Estados Unidos;Mayo;22.743
Andalucía;Estados Unidos;Junio;23.872
Andalucía;Estados Unidos;Julio;18.695
Andalucía;Estados Unidos;Agosto;12.480
Andalucía;Estados Unidos;Septiembre;15.973
Andalucía;Estados Unidos;Octubre;19.965
